depiction of hunter-style cave woman character, sh4r0na woman with short white hair, vibrant orange fur skin blouse with black accents and exposed torso, including matching fur skin wrapped oversized boots and gloves, she is standing in the central plaza of a neo-primitive city-state, where a tribal king sits upon a throne made from the remains of an ancient aircraft, and warriors with spears tipped with technological fragments guard ancient knowledge repositories, Watercolor style graphic novel illustration, detailed ink linework.
depiction of hunter-style cave woman character, sh4r0na woman with short white hair, vibrant orange fur skin blouse with black accents and exposed torso, including matching fur skin wrapped oversized boots and gloves, she is moving through a bustling tribal market established in what was once a grand train station, with vendors selling goods crafted from scavenged materials, Watercolor style graphic novel illustration, detailed ink linework.
depiction of hunter-style cave woman character, sh4r0na woman with short white hair, vibrant orange fur skin blouse with black accents and exposed torso, including matching fur skin wrapped oversized boots and gloves, she is navigating the hierarchical levels of a tribal city built within a skyscraper, where social status is determined by which floor one inhabits, Watercolor style graphic novel illustration, detailed ink linework.
depiction of hunter-style cave woman character, sh4r0na woman with short white hair, vibrant orange fur skin blouse with black accents and exposed torso, including matching fur skin wrapped oversized boots and gloves, she is observing a council meeting of tribal elders in what was once a corporate boardroom, its technology long dead but its authority still respected, Watercolor style graphic novel illustration, detailed ink linework.
depiction of hunter-style cave woman character, sh4r0na woman with short white hair, vibrant orange fur skin blouse with black accents and exposed torso, including matching fur skin wrapped oversized boots and gloves, she is climbing the ceremonial steps to a temple built atop an ancient power plant, where technological fragments are worshipped and a mysterious light still glows in the depths, Watercolor style graphic novel illustration, detailed ink linework.
depiction of hunter-style cave woman character, sh4r0na woman with short white hair, vibrant orange fur skin blouse with black accents and exposed torso, including matching fur skin wrapped oversized boots and gloves, she is moving through narrow streets formed between repurposed shipping containers, now a warren of tribal dwellings in a thriving port city-state, Watercolor style graphic novel illustration, detailed ink linework.
depiction of hunter-style cave woman character, sh4r0na woman with short white hair, vibrant orange fur skin blouse with black accents and exposed torso, including matching fur skin wrapped oversized boots and gloves, she is standing in an arena where tribal champions compete with weapons fashioned from ancient technology, cheered on by crowds seated in what was once a baseball stadium, Watercolor style graphic novel illustration, detailed ink linework.
depiction of hunter-style cave woman character, sh4r0na woman with short white hair, vibrant orange fur skin blouse with black accents and exposed torso, including matching fur skin wrapped oversized boots and gloves, she is navigating through a tribal city where water is distributed through repurposed ancient plumbing, controlled by a priest class who guard the secrets of pressure and flow, Watercolor style graphic novel illustration, detailed ink linework.
depiction of hunter-style cave woman character, sh4r0na woman with short white hair, vibrant orange fur skin blouse with black accents and exposed torso, including matching fur skin wrapped oversized boots and gloves, she is examining ancient texts in a tribal library established in what was once a university, where fragments of old knowledge are preserved but often misinterpreted, Watercolor style graphic novel illustration, detailed ink linework.
depiction of hunter-style cave woman character, sh4r0na woman with short white hair, vibrant orange fur skin blouse with black accents and exposed torso, including matching fur skin wrapped oversized boots and gloves, she is passing through massive gates made from the remains of public transit vehicles, marking the boundary between rival city-states built in adjacent districts of an ancient metropolis, Watercolor style graphic novel illustration, detailed ink linework.
depiction of hunter-style cave woman character, sh4r0na woman with short white hair, vibrant orange fur skin blouse with black accents and exposed torso, including matching fur skin wrapped oversized boots and gloves, she is observing a class of young tribal members being taught to decipher ancient writing systems, seated in the remains of what was once an elementary school, Watercolor style graphic novel illustration, detailed ink linework.
depiction of hunter-style cave woman character, sh4r0na woman with short white hair, vibrant orange fur skin blouse with black accents and exposed torso, including matching fur skin wrapped oversized boots and gloves, she is moving carefully through a tribal palace built within a museum, where ancient artifacts are displayed as symbols of the chief's connection to the old gods, Watercolor style graphic novel illustration, detailed ink linework.
